,name,metric_for_best_model,eval/train_disorder,eval/valid_disorder,eval/test_disorder,eval/expert_disorder,eval/train_f1,eval/valid_f1,eval/test_f1,eval/expert_f1,eval/train_auprc,eval/valid_auprc,eval/test_auprc,eval/expert_auprc,eval/train_r_precision,eval/valid_r_precision,eval/test_r_precision,eval/expert_r_precision,_timestamp
129,loose,valid_f1,0.2473357371196,0.21636594574749793,0.31685739724618206,0.4136307751394686,0.7947368893382742,0.785898977996745,0.7048158060752416,0.38234142232374674,0.8382766502246507,0.7824904751294046,0.730740345725495,0.6095216332550973,0.9030665227748408,0.9068418798749168,0.8915795176707255,0.6369310344827586,20250425 09:40:35
132,complex,valid_f1,0.06589216907190455,0.39046374072277545,0.37410122949052543,0.4098404833052428,0.3702068017053502,0.27377333895797784,0.1515099081437095,0.17885811712002755,0.9386636559466178,0.6370591741245691,0.6420725793610815,0.6329164452954429,0.38176308021909106,0.4079247826832432,0.23533477067190353,0.2222885027234407,20250425 10:32:36
135,harsh,valid_f1,0.09886490846477188,0.3629962779259811,0.3755991123237156,0.4272337575118997,0.3670369466173954,0.2839735596267485,0.16860198543279117,0.1992087067293109,0.9481479018095724,0.60531612672851,0.6101340301669043,0.6288640798888789,0.401944416583791,0.4533310307530945,0.29406106848947405,0.2521444106101345,20250425 11:01:58
138,cnc_train_strict,valid_f1,0.01487347476417137,0.15632356872055694,0.1943542568361373,0.3683696530772751,0.40855715125002,0.4367825026100915,0.28789897629016736,0.28649194980103376,0.9881117807913388,0.7006398117663987,0.8317165840858667,0.6074288331580882,0.4092941362314057,0.4657173418451008,0.3228702120892523,0.4163719913410434,20250425 11:36:29
141,cnc_train_naive,valid_f1,0.033424850984349774,0.45833195275564587,0.5143948802107864,0.48219709487929874,0.8339786395271471,0.5346092925708485,0.4364119604426767,0.32413249282655676,0.9955905848284085,0.697038927965709,0.5917842049543063,0.6044562004935444,0.8446111616241135,0.7340033668224845,0.6478295152460306,0.47771837602886047,20250425 12:40:11
142,strict,valid_f1,0.07457409645151587,0.15787908733731232,0.1835562152453785,0.31512786432192713,0.3775972829410938,0.4383977559369194,0.30339722868602415,0.33837465375681136,0.8965735256744529,0.7477089556337445,0.8330289588773158,0.648288088223913,0.39032539808062217,0.47681322440999857,0.3398401641358298,0.48154299937535394,20250430 03:38:26
145,naive,valid_f1,0.1487828561281305,0.42555827138369023,0.5006500561408367,0.45481669247897377,0.7691326964296299,0.5746355057333651,0.44398174014954833,0.3696647365642291,0.9537221897911144,0.7152098969089067,0.6209162699378343,0.6750274933129784,0.7958213559530125,0.7774877581096837,0.650082098718602,0.5132214507246463,20250430 04:14:29
148,loose,valid_f1,0.24651920143450995,0.24265108029844404,0.3167475537515916,0.3977151419261546,0.8355119236027619,0.7887390402216593,0.671522275940752,0.3911076537674357,0.8845897004669122,0.7724372440296351,0.7387838892225408,0.6177815473815157,0.8939170176278135,0.9008194047543412,0.8154423821164063,0.6369770114942529,20250430 05:08:43
151,complex,valid_f1,0.1585491240102034,0.3597743134021066,0.3242286904016853,0.4011705328383301,0.3165026081261772,0.2758855890389652,0.18814049469167052,0.21195665176161743,0.8377185867916237,0.6267391903402599,0.6086023941396093,0.6246227302163626,0.36296451719602696,0.44563189275050064,0.2883975410914971,0.2775030649377365,20250430 05:52:40
154,harsh,valid_f1,0.08590606361789166,0.41902192555296863,0.3477375433155252,0.4300416146046526,0.3725616112483188,0.26780097172376166,0.16824913105134776,0.1596323458326619,0.9408216613825912,0.5915252929687514,0.6096981158318512,0.6179387158170522,0.39767177727789726,0.4296152304493336,0.25400782798499516,0.1945633811519939,20250430 06:24:12
157,cnc_train_strict,valid_f1,0.008490775577541177,0.16468746111845176,0.16789578022828827,0.3644606096445493,0.41736581544919926,0.44360685005928935,0.30323657375266316,0.3184523170696214,1.0,0.6803872166294611,0.8135176662005378,0.6071009475673247,0.4182041820418204,0.4871810758567975,0.3395985860544684,0.4669833013683127,20250430 07:02:13
160,cnc_train_naive,valid_f1,0.23478676316778263,0.4320488743893546,0.5241276249640493,0.4651029639080274,0.7013901929397134,0.5459259312768663,0.4269893458475565,0.318682515296628,0.885958682701371,0.6844701167810475,0.5768454609123965,0.5955777469426523,0.7465859351749542,0.7321497792617104,0.6336542365015301,0.4752514358569793,20250430 07:49:15
163,cnc_train_loose,valid_f1,0.24718814880012752,0.19558135229541093,0.2855293831546358,0.38509902739281754,0.7916678805088537,0.7787690708982964,0.6847856017971684,0.35540254574306507,0.8235064437034769,0.7127999824251008,0.6751853138906205,0.5657159088105317,0.9531318320888542,0.977168991322128,0.9229863442755536,0.6294,20250430 08:46:35
166,cnc_train_complex,valid_f1,0.11085888024813582,0.3480333876754198,0.3412693833691292,0.4191439831996187,0.35209007152979926,0.26436582789530516,0.1579377481636775,0.20013454620679777,0.8998207795620814,0.6232925006995242,0.5686345980602908,0.5821764368937624,0.3853544294697134,0.39819972071380577,0.2812493025721034,0.26539220379919476,20250430 09:43:16
169,cnc_train_harsh,valid_f1,0.09301954123776614,0.4181301975015856,0.34042142630337013,0.4656476746395303,0.3540143779196364,0.238724260529292,0.13762734988386774,0.14068261213737376,0.8935815590470033,0.597123293461404,0.5375285686120845,0.58492148377926,0.3738559330997657,0.3576312905920716,0.2400136460045516,0.1701098697384648,20250430 10:20:23
